Questions,URL,Answers
My child is very sensitive/has frequent nosebleeds. Can he/she be excused from the SHN+ exit swab?,ICA/022,"In Singapore’s context, the COVID-19 Polymerase Chain Reaction Test (“PCR test”) is carried out by trained personnel in adherence with the prevailing safety protocols/procedures. Should your child be assessed to have medical contraindications and is unsuitable for the PCR test, alternative arrangements may be made."
My child has frequent nosebleeds. Can he still take PCR test?,ICA/022,"In Singapore’s context, the COVID-19 Polymerase Chain Reaction Test (“PCR test”) is carried out by trained personnel in adherence with the prevailing safety protocols/procedures. Should your child be assessed to have medical contraindications and is unsuitable for the PCR test, alternative arrangements may be made."
I am unwell. Can I postpone my COVID-19 Polymerase Chain Reaction test (“PCR test”) appointment?,ICA/023,"Travellers who are due to take their PCR test but are feeling unwell should remain in their Stay-Home Notice (SHN) accommodation, e.g. own residence or SHN-Dedicated Facility (SDF), and alert the relevant agencies listed in this page."
Can I postpone my PCR test as I am feeling sick now?,ICA/023,"Travellers who are due to take their PCR test but are feeling unwell should remain in their Stay-Home Notice (SHN) accommodation, e.g. own residence or SHN-Dedicated Facility (SDF), and alert the relevant agencies listed in this page."
Can I postpone my PCR test till I am well enough?,ICA/023,"Travellers who are due to take their PCR test but are feeling unwell should remain in their Stay-Home Notice (SHN) accommodation, e.g. own residence or SHN-Dedicated Facility (SDF), and alert the relevant agencies listed in this page."
I have been vaccinated in Singapore. Am I still required to take a pre-departure test to leave the country?,ICA/024,"Travellers who have been vaccinated in Singapore should check with the authorities of the destination country/region, on whether they are still required to take a pre-departure test before arrival. Non-vaccinated individuals (including children) who intend to travel should likewise check on the prevailing border and health control measures they should abide by in the destination country/region."
Do I still need to do pre-departure PCR test when departing Singapore if I am vaccinated in Singapore?,ICA/024,"Travellers who have been vaccinated in Singapore should check with the authorities of the destination country/region, on whether they are still required to take a pre-departure test before arrival. Non-vaccinated individuals (including children) who intend to travel should likewise check on the prevailing border and health control measures they should abide by in the destination country/region."
Do clinics need to help travellers digitally authenticate and endorse their HealthCerts?,ICA/025,"No, the traveller should digitally authenticate and endorse their HealthCerts themselves at https://www.notarise.gov.sg . When issuing the HealthCerts to them, clinics, labs and/or the tech provider should also highlight the requirement to the traveller. In the event that the tech providers are already performing digital authentication and endorsement via Application Programming Interfaces (API), travellers will receive an endorsed document without having to transact on the Not?rise portal."
"The PRC embassy stipulates both PCR and serology IgM tests for all travellers entering China. Since the HealthCert is currently only for PCR tests, how will travellers meet the entry requirements?",ICA/026,"The combined PCR and IgM HealthCert will be available soon. In the meantime, travellers should highlight to the clinic if their PDT is for the purposes of entry to China, in which case they should be issued with an additional paper certificate in accordance with the PRC embassy’s requirements. This page will be updated accordingly when the combined schema is available."
"The country/region I am travelling to requires a test other than a PCR test. Since the HealthCert is currently only for PCR tests, how will travellers show their test results to the relevant authorities?",ICA/027,"In such a case, the traveller may request for a hardcopy test result from the doctor to show to the airlines and immigration authorities of the arrival country/region."
How will travellers receive their Pre-Departure Test (PDT) certificate?,ICA/028,"The test results will be sent to the traveller by either the clinic where the PDT was taken, or by their partnering clinical laboratory. This will be in the form of a digital certificate in accordance with the HealthCerts schema and standards. In the event the traveller does not have the ability to show the digital certificate on arrival at the destination country/region, the traveller may request for a hardcopy from the doctor."
Where do I find my PDT cert?,ICA/028,"The test results will be sent to the traveller by either the clinic where the PDT was taken, or by their partnering clinical laboratory. This will be in the form of a digital certificate in accordance with the HealthCerts schema and standards. In the event the traveller does not have the ability to show the digital certificate on arrival at the destination country/region, the traveller may request for a hardcopy from the doctor."
Where do I find my Pre-Departure Test (PDT) certificate?,ICA/028,"The test results will be sent to the traveller by either the clinic where the PDT was taken, or by their partnering clinical laboratory. This will be in the form of a digital certificate in accordance with the HealthCerts schema and standards. In the event the traveller does not have the ability to show the digital certificate on arrival at the destination country/region, the traveller may request for a hardcopy from the doctor."
Can travellers still use digital certificates without a SingPass account (e.g. foreign citizen who is a short-stay traveller)?,ICA/029,"Travellers may still digitally authenticate and endorse their test certificate on www.notarise.gov.sg without signing in to SingPass. However, please note that the traveller will only be receive the endorsed HealthCert via email, with no additional copy stored in the SingPass mobile app."
How to authenticate my test cert?,ICA/029,"Travellers may still digitally authenticate and endorse their test certificate on www.notarise.gov.sg without signing in to SingPass. However, please note that the traveller will only be receive the endorsed HealthCert via email, with no additional copy stored in the SingPass mobile app."
Where to endorse my test cert?,ICA/029,"Travellers may still digitally authenticate and endorse their test certificate on www.notarise.gov.sg without signing in to SingPass. However, please note that the traveller will only be receive the endorsed HealthCert via email, with no additional copy stored in the SingPass mobile app."
What if the digitally authenticated and endorsed certificate was not sent to the traveller?,ICA/030,"Please check the email spam folder. If the email is still not there, please contact ."
My test cert was not sent to me.,ICA/030,"Please check the email spam folder. If the email is still not there, please contact ."
Can a third party transact on behalf of a traveller who requires the assistance to digitally authenticate and endorse their PDT certificate?,ICA/031,"Yes, a third party may do so if they have the digital certificate of the traveller(s) that they will be transacting on behalf of."
Where can GP clinics find out more about digital certificate capabilities and providing PDTs?,ICA/032,"Clinics may refer to the following circulars on the MOH website: Mandating Digital Health Certificates for COVID-19 Pre-Departure Testing, and Extension of Deadline for Digital Health Certificates for COVID-19 Pre-Departure Testing"
Where can I see my vaccination records?,ICA/033,"Vaccination records are kept electronically in the National Immunisation Registry, as well as on apps such as TraceTogether and HealthHub. You can also refer to your physical vaccination card that is given to all vaccinated individuals. These are for your own reference, to check if you are vaccinated."
How can I find my vaccination records?,ICA/033,"Vaccination records are kept electronically in the National Immunisation Registry, as well as on apps such as TraceTogether and HealthHub. You can also refer to your physical vaccination card that is given to all vaccinated individuals. These are for your own reference, to check if you are vaccinated."
Where can I retrieve my vaccination records?,ICA/033,"Vaccination records are kept electronically in the National Immunisation Registry, as well as on apps such as TraceTogether and HealthHub. You can also refer to your physical vaccination card that is given to all vaccinated individuals. These are for your own reference, to check if you are vaccinated."
Can I use my physical vaccination card for travel purposes?,ICA/034,The physical vaccination card that is given to all vaccinated individuals is not meant to be used for travel purposes. We are actively engaging international counterparts and monitoring global developments on the development and recognition of digital vaccination certificates for travel purposes. Travellers should also take note of the latest travel advisory for Singaporeans and residents of Singapore published by MOH.
Can I produce my physical vaccination card for travel?,ICA/034,The physical vaccination card that is given to all vaccinated individuals is not meant to be used for travel purposes. We are actively engaging international counterparts and monitoring global developments on the development and recognition of digital vaccination certificates for travel purposes. Travellers should also take note of the latest travel advisory for Singaporeans and residents of Singapore published by MOH.
How can I prove to foreign authorities that I have been vaccinated?,ICA/035,"The physical vaccination card that is given to all vaccinated individuals is not meant to be used for travel purposes/ proof of vaccination. For purposes of travel, you can request for a digital vaccination certificate from Not?rise. This will be sent to your email and/or Singpass app, and can also be printed out. Please be aware that the use of this digital vaccination certificate is subject to the prevailing entry requirements of your destination country. Travellers should check the MFA website for the latest travel advisories to other countries/ regions, as well as the immigration authority or embassy of the destination country/ region on the relevant health requirements imposed on travellers from Singapore. Travellers should also take note of the latest travel advisory for Singaporeans and residents of Singapore published by MOH ."
Can my physical vaccination card serve as a proof that I am fully vaccinated? ,ICA/035,"The physical vaccination card that is given to all vaccinated individuals is not meant to be used for travel purposes/ proof of vaccination. For purposes of travel, you can request for a digital vaccination certificate from Not?rise. This will be sent to your email and/or Singpass app, and can also be printed out. Please be aware that the use of this digital vaccination certificate is subject to the prevailing entry requirements of your destination country. Travellers should check the MFA website for the latest travel advisories to other countries/ regions, as well as the immigration authority or embassy of the destination country/ region on the relevant health requirements imposed on travellers from Singapore. Travellers should also take note of the latest travel advisory for Singaporeans and residents of Singapore published by MOH ."
Do all travellers entering Singapore require mandatory travel insurance covering COVID-19?,ICA/036,"The mandatory insurance requirement will apply to short-term visitors who are entering Singapore under the Air Travel Pass (ATP), Reciprocal Green Lanes (RGLs) and Vaccinated Travel Lane (VTL). It will not apply to returning Singapore Citizens/Permanent Residents (SCs/PRs), as they are able to tap on regular healthcare financing arrangements for their inpatient medical bills should they develop onset of COVID-19 symptoms within 14 days of their return."
Do I need to purchase travel insurance before entering Singapore?,ICA/036,"The mandatory insurance requirement will apply to short-term visitors who are entering Singapore under the Air Travel Pass (ATP), Reciprocal Green Lanes (RGLs) and Vaccinated Travel Lane (VTL). It will not apply to returning Singapore Citizens/Permanent Residents (SCs/PRs), as they are able to tap on regular healthcare financing arrangements for their inpatient medical bills should they develop onset of COVID-19 symptoms within 14 days of their return."
"If I am a Singapore Citizen entering Singapore, do I need to purchase travel insurance?",ICA/036,"The mandatory insurance requirement will apply to short-term visitors who are entering Singapore under the Air Travel Pass (ATP), Reciprocal Green Lanes (RGLs) and Vaccinated Travel Lane (VTL). It will not apply to returning Singapore Citizens/Permanent Residents (SCs/PRs), as they are able to tap on regular healthcare financing arrangements for their inpatient medical bills should they develop onset of COVID-19 symptoms within 14 days of their return."
"If I am a Permanent Resident entering Singapore, do I need to purchase travel insurance?",ICA/036,"The mandatory insurance requirement will apply to short-term visitors who are entering Singapore under the Air Travel Pass (ATP), Reciprocal Green Lanes (RGLs) and Vaccinated Travel Lane (VTL). It will not apply to returning Singapore Citizens/Permanent Residents (SCs/PRs), as they are able to tap on regular healthcare financing arrangements for their inpatient medical bills should they develop onset of COVID-19 symptoms within 14 days of their return."
"If I am a PR entering Singapore, do I need to purchase travel insurance?",ICA/036,"The mandatory insurance requirement will apply to short-term visitors who are entering Singapore under the Air Travel Pass (ATP), Reciprocal Green Lanes (RGLs) and Vaccinated Travel Lane (VTL). It will not apply to returning Singapore Citizens/Permanent Residents (SCs/PRs), as they are able to tap on regular healthcare financing arrangements for their inpatient medical bills should they develop onset of COVID-19 symptoms within 14 days of their return."
How can travellers purchase the insurance coverage?,ICA/037,There are products offered by Singapore-based insurers. Travellers can visit the respective insurers’ websites or enquire with the contact points in the table below to purchase the inbound insurance plan. Travellers may also purchase overseas products which cover their visit to Singapore. Insurer Contact Details AIG Asia Pacific Insurance Pte. Ltd. Visit: https://www.aig.sg/contact-online Chubb Insurance Singapore Limited Chubb Customer Service Tel: +65 6398 8776 HL Assurance Pte. Ltd. Email:Travel.SG@Chubb.com Tel: +65 8745 3895 Email:contactsg@hlas.com.sg
How do I purchase travel insurance?,ICA/037,There are products offered by Singapore-based insurers. Travellers can visit the respective insurers’ websites or enquire with the contact points in the table below to purchase the inbound insurance plan. Travellers may also purchase overseas products which cover their visit to Singapore. Insurer Contact Details AIG Asia Pacific Insurance Pte. Ltd. Visit: https://www.aig.sg/contact-online Chubb Insurance Singapore Limited Chubb Customer Service Tel: +65 6398 8776 HL Assurance Pte. Ltd. Email:Travel.SG@Chubb.com Tel: +65 8745 3895 Email:contactsg@hlas.com.sg
Do travellers need to show proof of travel insurance purchase when they apply for the ATP or RGL? What documents do they need to submit to show that they are insured?,ICA/038,"Visitors who apply to enter Singapore under the ATP and RGLs will have to declare, at the point of ATP application, that they will purchase travel insurance with minimum coverage of S$30,000 for COVID-19-related medical treatment and hospitalisation costs prior to travel to Singapore. They are required to bring along an electronic or physical copy of their insurance policy before departing for Singapore."
Must the insurance be bought prior to their travel to Singapore? Can travellers purchase it upon arrival in Singapore?,ICA/039,The insurance must be bought prior to their travel to Singapore.
Can I buy travel insurance when I land in Singapore or it has to be bought prior to my travel?,ICA/039,The insurance must be bought prior to their travel to Singapore.
Are foreign travellers entitled to use public hospitals?,ICA/040,Hospitals are assigned based on operational considerations. Patients who have been tested positive for COVID-19 are not permitted to choose their hospital.
"Can foreigners who are tested positive for covid, choose their own hospital?",ICA/040,Hospitals are assigned based on operational considerations. Patients who have been tested positive for COVID-19 are not permitted to choose their hospital.
"What is the basis of setting the minimum insurance coverage requirement at S$30,000?",ICA/041,The requirement is based on COVID-19 bill sizes at private hospitals.
"Why is there a minimum insurance coverage of S$30,000?",ICA/041,The requirement is based on COVID-19 bill sizes at private hospitals.
"Why is there a minimum insurance coverage of SGD30,000?",ICA/041,The requirement is based on COVID-19 bill sizes at private hospitals.
How much are the premiums?,ICA/042,"The premiums would depend on factors such as the country/region from which the traveller is departing from, the length of the trip and/or factors such as the travellers’ age. More details can be found on the respective insurers’ websites."
How much are the insurance premiums?,ICA/042,"The premiums would depend on factors such as the country/region from which the traveller is departing from, the length of the trip and/or factors such as the travellers’ age. More details can be found on the respective insurers’ websites."
Will minimum insurance coverage requirement cover all short-term visitors? How about short-term visitors from the other travel lanes?,ICA/043,"The Government will review whether to extend the requirement to short-term visitors from other countries, taking into consideration the availability of products in the insurance market."
"Will short-term visitors be required to have a minimum insurance coverage requirement of S$30,000?",ICA/043,"The Government will review whether to extend the requirement to short-term visitors from other countries, taking into consideration the availability of products in the insurance market."
"Will short-term visitors be required to have a minimum insurance coverage requirement of SGD30,000?",ICA/043,"The Government will review whether to extend the requirement to short-term visitors from other countries, taking into consideration the availability of products in the insurance market."
Do recovered COVID-19 visitors need to buy insurance? How about vaccinated travellers?,ICA/044,"Yes, both recovered and vaccinated foreign travellers need to buy insurance before travel to Singapore. There is still a risk that these travellers can get the COVID-19 infection, and require medical attention or hospitalisation for evaluation."
Are vaccinated travellers required to buy travel insurance before entering Singapore?,ICA/044,"Yes, both recovered and vaccinated foreign travellers need to buy insurance before travel to Singapore. There is still a risk that these travellers can get the COVID-19 infection, and require medical attention or hospitalisation for evaluation."
"If I have recovered from covid, do I still need to buy travel insurance before entering Singapore?",ICA/044,"Yes, both recovered and vaccinated foreign travellers need to buy insurance before travel to Singapore. There is still a risk that these travellers can get the COVID-19 infection, and require medical attention or hospitalisation for evaluation."
"Should the COVID-19 treatment cost go beyond S$30,000, who will pay the excess?",ICA/045,"As per existing practice, travellers will have to pay for their own treatment costs beyond insurance coverage. Visitors and/or hosts will be required to declare, at the point of application, that they have purchased or will be purchasing travel insurance that meets MOH’s minimum coverage requirements for the duration of their stay in Singapore, and will pay for any treatment costs beyond the insurance coverage, before being given approval to travel to Singapore."
Would Long Term Pass Holders be required to buy insurance?,ICA/046,"With effect from 1 Jan 2021, all Work Permit and S Pass holders entering Singapore must be covered by insurance for COVID-19 treatment if the pass holder develops COVID-19 symptoms or test positive within 14 days of arrival into Singapore. All other Long-Term Pass holders, (i.e., Employment Pass holders, Dependant’s Pass Holders, Student’s Pass Holders and Long-Term Visit Pass Holders), are encouraged to purchase insurance as the Government will no longer bear the costs of COVID-19 treatment if they develop COVID-19 symptoms or test positive within 14 days of arrival into Singapore."
Would Work Permit Holders be required to buy insurance?,ICA/046,"With effect from 1 Jan 2021, all Work Permit and S Pass holders entering Singapore must be covered by insurance for COVID-19 treatment if the pass holder develops COVID-19 symptoms or test positive within 14 days of arrival into Singapore. All other Long-Term Pass holders, (i.e., Employment Pass holders, Dependant’s Pass Holders, Student’s Pass Holders and Long-Term Visit Pass Holders), are encouraged to purchase insurance as the Government will no longer bear the costs of COVID-19 treatment if they develop COVID-19 symptoms or test positive within 14 days of arrival into Singapore."
Would S Pass Holders be required to buy insurance?,ICA/046,"With effect from 1 Jan 2021, all Work Permit and S Pass holders entering Singapore must be covered by insurance for COVID-19 treatment if the pass holder develops COVID-19 symptoms or test positive within 14 days of arrival into Singapore. All other Long-Term Pass holders, (i.e., Employment Pass holders, Dependant’s Pass Holders, Student’s Pass Holders and Long-Term Visit Pass Holders), are encouraged to purchase insurance as the Government will no longer bear the costs of COVID-19 treatment if they develop COVID-19 symptoms or test positive within 14 days of arrival into Singapore."
Do I have to pay for my stay at a Stay-Home Notice Dedicated facility (SDF) if I request for it?,ICA/047,"Yes, all travellers serving their Stay-Home Notice at an SDF are required to pay for the cost of the accommodation."
"If I want to stay at a SHN facility, do I need to pay for my stay?",ICA/047,"Yes, all travellers serving their Stay-Home Notice at an SDF are required to pay for the cost of the accommodation."
Do I need to pay for my stay at a SHN facility?,ICA/047,"Yes, all travellers serving their Stay-Home Notice at an SDF are required to pay for the cost of the accommodation."
When and how should I pay for my COVID-19 Polymerase Chain Reaction test (“PCR test”) and Stay-Home Notice Dedicated Facility (SDF)?,ICA/048,"All arriving travellers are required to pay for their PCR test (click here to check for the cost) and SDF. Travellers who are sponsored may work out the payment arrangement with their application sponsors. When and how payment is collected, will depend on the travellers’ scheme of travel."
When will I need to pay for my PCR test in Singapore?,ICA/048,"All arriving travellers are required to pay for their PCR test (click here to check for the cost) and SDF. Travellers who are sponsored may work out the payment arrangement with their application sponsors. When and how payment is collected, will depend on the travellers’ scheme of travel."
How should I need to pay for my PCR test in Singapore?,ICA/048,"All arriving travellers are required to pay for their PCR test (click here to check for the cost) and SDF. Travellers who are sponsored may work out the payment arrangement with their application sponsors. When and how payment is collected, will depend on the travellers’ scheme of travel."
How do I request a refund for my COVID-19 Polymerase Chain Reaction test (“PCR test’) as well as stay at the Stay-Home Notice (SHN) dedicated facility (SDF)?,ICA/049,"Pre-payments made for relevant costs such as SDF and COVID-19 Polymerase Chain Reaction test (“PCR test”) fees during the entry application process are non-refundable for drop-outs and last minute cancellations. All forfeited pre-payments will go toward covering the relevant costs have been incurred to secure and prepare the accommodation for the traveller. Requests for refunds will only be considered if there are strong mitigating factors. These may include flight cancellation by the airline, or changes in border policies that has prevented the traveller from leaving for Singapore. In such instances, travellers may submit a refund request to the channels, below, based on their corresponding pass type and/or scheme of entry: Travellers who have paid for their on-arrival COVID-19 PCR test separately at the airport or land/sea checkpoints, please refer to the following: For bookings made at the airport i. If they have a Safe Travel Concierge account with CAG: Login to the account, navigate to ‘My Trips’ and choose the trip that they wish to cancel; ii. If they do not have an account, they may wish to email to swabtest.refund@changiairport.com to request for assistance in cancellation and refunds. For bookings made at the land/sea checkpoints: Travellers may wish to directly email to francis.goh@parkwayshenton.com.sg for their refund or cancellation requests."
How can I request for a refund of my PCR test?,ICA/049,"Pre-payments made for relevant costs such as SDF and COVID-19 Polymerase Chain Reaction test (“PCR test”) fees during the entry application process are non-refundable for drop-outs and last minute cancellations. All forfeited pre-payments will go toward covering the relevant costs have been incurred to secure and prepare the accommodation for the traveller. Requests for refunds will only be considered if there are strong mitigating factors. These may include flight cancellation by the airline, or changes in border policies that has prevented the traveller from leaving for Singapore. In such instances, travellers may submit a refund request to the channels, below, based on their corresponding pass type and/or scheme of entry: Travellers who have paid for their on-arrival COVID-19 PCR test separately at the airport or land/sea checkpoints, please refer to the following: For bookings made at the airport i. If they have a Safe Travel Concierge account with CAG: Login to the account, navigate to ‘My Trips’ and choose the trip that they wish to cancel; ii. If they do not have an account, they may wish to email to swabtest.refund@changiairport.com to request for assistance in cancellation and refunds. For bookings made at the land/sea checkpoints: Travellers may wish to directly email to francis.goh@parkwayshenton.com.sg for their refund or cancellation requests."
How can I request for a refund of my stay at a SHN facility?,ICA/049,"Pre-payments made for relevant costs such as SDF and COVID-19 Polymerase Chain Reaction test (“PCR test”) fees during the entry application process are non-refundable for drop-outs and last minute cancellations. All forfeited pre-payments will go toward covering the relevant costs have been incurred to secure and prepare the accommodation for the traveller. Requests for refunds will only be considered if there are strong mitigating factors. These may include flight cancellation by the airline, or changes in border policies that has prevented the traveller from leaving for Singapore. In such instances, travellers may submit a refund request to the channels, below, based on their corresponding pass type and/or scheme of entry: Travellers who have paid for their on-arrival COVID-19 PCR test separately at the airport or land/sea checkpoints, please refer to the following: For bookings made at the airport i. If they have a Safe Travel Concierge account with CAG: Login to the account, navigate to ‘My Trips’ and choose the trip that they wish to cancel; ii. If they do not have an account, they may wish to email to swabtest.refund@changiairport.com to request for assistance in cancellation and refunds. For bookings made at the land/sea checkpoints: Travellers may wish to directly email to francis.goh@parkwayshenton.com.sg for their refund or cancellation requests."
"Can a vaccinated traveller be exempted from prevailing border health measures (e.g. SHN, COVID-19 PCR Test)?",ICA/050,"Fully vaccinated travellers will be able to apply to opt out of dedicated SHN facilities and serve their 10-day SHN at their place of residence or suitable accommodation of choice if they: a. are entering Singapore via the General Entry Lanes for Long-term Pass holders, or Returning Singapore Citizen and Permanent Residents Lane; and b. Have remained in any Category (I) to (III) country/region for 14 consecutive days before arrival in Singapore For more information on full SDF opt-out criteria, click here. https://safetravel.ica.gov.sg/health/shn/sdf"
"If I am fully vaccinated, will I be exempted from prevailing border health measures?",ICA/050,"Fully vaccinated travellers will be able to apply to opt out of dedicated SHN facilities and serve their 10-day SHN at their place of residence or suitable accommodation of choice if they: a. are entering Singapore via the General Entry Lanes for Long-term Pass holders, or Returning Singapore Citizen and Permanent Residents Lane; and b. Have remained in any Category (I) to (III) country/region for 14 consecutive days before arrival in Singapore For more information on full SDF opt-out criteria, click here. https://safetravel.ica.gov.sg/health/shn/sdf"
"I require to use a nebuliser to manage my medical condition, what must I do before I enter Singapore?",ICA/051,All travellers who require to use a nebuliser daily or on an ad-hoc basis for their management of medical condition are required to declare the usage before arrival into Singapore. Travellers may submit their declaration through the link provided in their entry approval. The declaration would not affect your entry approval status/application for entry into Singapore. Travellers would be required to arrange for a tele-consultation upon arrival at their SHN location for assessment on conversion to an inhaler/spacer.
"I require to use a nebuliser to manage my medical condition, would i be allowed entry into Singapore?",ICA/052,"Yes, travellers who require to use a nebuliser would be allowed to enter Singapore. However, travellers are required to declare the usage before arrival into Singapore."
