Question,,Answer
"If my child is on MC, can he take the national exams?",MOE/015,"With the latest updates to the national COVID-19 isolation and testing protocols, MOE and SEAB have updated the examination arrangements for candidates taking their upcoming GCE-Level national year-end examinations, starting from 11 October 2021.

Health Risk Warning

Candidates on HRW who are well will be allowed to sit for their national year-end examinations, including the science practical examinations, and can take public transport to and from their examination venue. They should meet the following requirements:

Inform schools of their intent to sit for their examinations;
Ensure that they meet MOH's test protocol requirements, i.e.:
Testing negative for ART on the first day;
Testing negative for ART on the day of their examinations, before leaving their home;
Show a photo of their ART kits with negative test result and date of ART taken indicated on the test kit (candidate's ID must be placed next to their ART kit in the photo) to the invigilators.
Medical Leave

Candidates who are on medical leave will be allowed to sit for the national year-end examinations if they have fully recovered. If the candidate is symptomatic and has been prescribed a Polymerase Chain Reaction (PCR) test by a healthcare professional to assess for COVID-19 infection, the candidate should continue to self-isolate till the PCR result is out and is negative.

On the day of examination, candidates must take a self-swab ART at home and show a photo of their ART kits with negative result, with date of ART taken indicated on the test kit, that are placed next to their ID to the invigilators on arrival.

The table below provides a summary of the arrangements for the 2021 year-end written examinations taking effect from 11 October:

Category	2021 Examination Arrangements
Confirmed case of COVID-19 infection*	Not allowed to sit for examinations.
SHN^
HRW	Allowed if ART self-swab before leaving home is negative; show a photo of their ART kits with negative test result and date of ART taken indicated on the test kit (candidate's ID must be placed next to their ART kit in the photo) to the invigilators.
MC	Allowed if fully recovered and is visibly well, and ART self-swab before leaving home is negative; show a photo of their ART kits and date of ART taken indicated on the test kit (candidate's ID must be placed next to their ART kit in the photo) with negative test result to the invigilators.
*Candidates on MOH’s Home Recovery scheme can sit for their examinations after they have been discharged.

^ Candidates on SHN due to travelling overseas to attend a funeral or visit a critically ill next-of-kin, can sit for the examinations under special arrangements. These candidates will take the examinations in schools. They must also take their own private vehicles or pre-book taxis to the exam venue as they are not allowed to take public transport.

Private candidates will be subjected to the same arrangements as candidates from mainstream schools."
"If my child on MC with covid symptoms, can he take the national exams?",MOE/015,"With the latest updates to the national COVID-19 isolation and testing protocols, MOE and SEAB have updated the examination arrangements for candidates taking their upcoming GCE-Level national year-end examinations, starting from 11 October 2021.

Health Risk Warning

Candidates on HRW who are well will be allowed to sit for their national year-end examinations, including the science practical examinations, and can take public transport to and from their examination venue. They should meet the following requirements:

Inform schools of their intent to sit for their examinations;
Ensure that they meet MOH's test protocol requirements, i.e.:
Testing negative for ART on the first day;
Testing negative for ART on the day of their examinations, before leaving their home;
Show a photo of their ART kits with negative test result and date of ART taken indicated on the test kit (candidate's ID must be placed next to their ART kit in the photo) to the invigilators.
Medical Leave

Candidates who are on medical leave will be allowed to sit for the national year-end examinations if they have fully recovered. If the candidate is symptomatic and has been prescribed a Polymerase Chain Reaction (PCR) test by a healthcare professional to assess for COVID-19 infection, the candidate should continue to self-isolate till the PCR result is out and is negative.

On the day of examination, candidates must take a self-swab ART at home and show a photo of their ART kits with negative result, with date of ART taken indicated on the test kit, that are placed next to their ID to the invigilators on arrival.

The table below provides a summary of the arrangements for the 2021 year-end written examinations taking effect from 11 October:

Category	2021 Examination Arrangements
Confirmed case of COVID-19 infection*	Not allowed to sit for examinations.
SHN^
HRW	Allowed if ART self-swab before leaving home is negative; show a photo of their ART kits with negative test result and date of ART taken indicated on the test kit (candidate's ID must be placed next to their ART kit in the photo) to the invigilators.
MC	Allowed if fully recovered and is visibly well, and ART self-swab before leaving home is negative; show a photo of their ART kits and date of ART taken indicated on the test kit (candidate's ID must be placed next to their ART kit in the photo) with negative test result to the invigilators.
*Candidates on MOH’s Home Recovery scheme can sit for their examinations after they have been discharged.

^ Candidates on SHN due to travelling overseas to attend a funeral or visit a critically ill next-of-kin, can sit for the examinations under special arrangements. These candidates will take the examinations in schools. They must also take their own private vehicles or pre-book taxis to the exam venue as they are not allowed to take public transport.

Private candidates will be subjected to the same arrangements as candidates from mainstream schools."
Can private candidates take national exams if they are issued a HRW?,MOE/015,"With the latest updates to the national COVID-19 isolation and testing protocols, MOE and SEAB have updated the examination arrangements for candidates taking their upcoming GCE-Level national year-end examinations, starting from 11 October 2021.

Health Risk Warning

Candidates on HRW who are well will be allowed to sit for their national year-end examinations, including the science practical examinations, and can take public transport to and from their examination venue. They should meet the following requirements:

Inform schools of their intent to sit for their examinations;
Ensure that they meet MOH's test protocol requirements, i.e.:
Testing negative for ART on the first day;
Testing negative for ART on the day of their examinations, before leaving their home;
Show a photo of their ART kits with negative test result and date of ART taken indicated on the test kit (candidate's ID must be placed next to their ART kit in the photo) to the invigilators.
Medical Leave

Candidates who are on medical leave will be allowed to sit for the national year-end examinations if they have fully recovered. If the candidate is symptomatic and has been prescribed a Polymerase Chain Reaction (PCR) test by a healthcare professional to assess for COVID-19 infection, the candidate should continue to self-isolate till the PCR result is out and is negative.

On the day of examination, candidates must take a self-swab ART at home and show a photo of their ART kits with negative result, with date of ART taken indicated on the test kit, that are placed next to their ID to the invigilators on arrival.

The table below provides a summary of the arrangements for the 2021 year-end written examinations taking effect from 11 October:

Category	2021 Examination Arrangements
Confirmed case of COVID-19 infection*	Not allowed to sit for examinations.
SHN^
HRW	Allowed if ART self-swab before leaving home is negative; show a photo of their ART kits with negative test result and date of ART taken indicated on the test kit (candidate's ID must be placed next to their ART kit in the photo) to the invigilators.
MC	Allowed if fully recovered and is visibly well, and ART self-swab before leaving home is negative; show a photo of their ART kits and date of ART taken indicated on the test kit (candidate's ID must be placed next to their ART kit in the photo) with negative test result to the invigilators.
*Candidates on MOH’s Home Recovery scheme can sit for their examinations after they have been discharged.

^ Candidates on SHN due to travelling overseas to attend a funeral or visit a critically ill next-of-kin, can sit for the examinations under special arrangements. These candidates will take the examinations in schools. They must also take their own private vehicles or pre-book taxis to the exam venue as they are not allowed to take public transport.

Private candidates will be subjected to the same arrangements as candidates from mainstream schools."
Can private candidates take national exams if they are on MC with covid symptoms?,MOE/015,"With the latest updates to the national COVID-19 isolation and testing protocols, MOE and SEAB have updated the examination arrangements for candidates taking their upcoming GCE-Level national year-end examinations, starting from 11 October 2021.

Health Risk Warning

Candidates on HRW who are well will be allowed to sit for their national year-end examinations, including the science practical examinations, and can take public transport to and from their examination venue. They should meet the following requirements:

Inform schools of their intent to sit for their examinations;
Ensure that they meet MOH's test protocol requirements, i.e.:
Testing negative for ART on the first day;
Testing negative for ART on the day of their examinations, before leaving their home;
Show a photo of their ART kits with negative test result and date of ART taken indicated on the test kit (candidate's ID must be placed next to their ART kit in the photo) to the invigilators.
Medical Leave

Candidates who are on medical leave will be allowed to sit for the national year-end examinations if they have fully recovered. If the candidate is symptomatic and has been prescribed a Polymerase Chain Reaction (PCR) test by a healthcare professional to assess for COVID-19 infection, the candidate should continue to self-isolate till the PCR result is out and is negative.

On the day of examination, candidates must take a self-swab ART at home and show a photo of their ART kits with negative result, with date of ART taken indicated on the test kit, that are placed next to their ID to the invigilators on arrival.

The table below provides a summary of the arrangements for the 2021 year-end written examinations taking effect from 11 October:

Category	2021 Examination Arrangements
Confirmed case of COVID-19 infection*	Not allowed to sit for examinations.
SHN^
HRW	Allowed if ART self-swab before leaving home is negative; show a photo of their ART kits with negative test result and date of ART taken indicated on the test kit (candidate's ID must be placed next to their ART kit in the photo) to the invigilators.
MC	Allowed if fully recovered and is visibly well, and ART self-swab before leaving home is negative; show a photo of their ART kits and date of ART taken indicated on the test kit (candidate's ID must be placed next to their ART kit in the photo) with negative test result to the invigilators.
*Candidates on MOH’s Home Recovery scheme can sit for their examinations after they have been discharged.

^ Candidates on SHN due to travelling overseas to attend a funeral or visit a critically ill next-of-kin, can sit for the examinations under special arrangements. These candidates will take the examinations in schools. They must also take their own private vehicles or pre-book taxis to the exam venue as they are not allowed to take public transport.

Private candidates will be subjected to the same arrangements as candidates from mainstream schools."
My child who is on HRW has approved Access Arrangements for a national examination that involves a Prompter/Scribe/Reader/Assistant (Exam/ Practical). Will my child be able to sit for the national examinations with these Access Arrangements?,MOE/016,"Candidates on HRW who have approved Access Arrangements that require the use of Prompter/Scribe/Reader/Assistant are allowed to sit for the national examinations with these Access Arrangements at separate examination venues, with the necessary SMMs in place."
Are there additional precautionary measures in place to protect the well-being of examination personnel who are invigilating candidates?,MOE/017,"In addition to the prevailing SMMs in place for the national examinations, candidates under COVID-19 arrangements (such as those on HRW or MC allowed to take the examinations) will take their examinations in a separate venue from the rest of the school cohort. Enhanced SMMs include a spacing of at least 3 metres between candidates in an exam-style seating.

HRW candidates who have met the necessary requirements to take the national examinations will have to avoid mingling with the other candidates, as they will be provided with designated entry/exit points, restrooms and have staggered reporting times.

In addition, HRW candidates will start their examination 30 minutes after the scheduled start time for the rest of the school cohort. Accompanying parents or care-givers of HRW candidates will not be allowed into the school premises.

For year-end examinations, candidates who are on SHN due to travelling overseas on compassionate reasons (e.g. to attend a funeral or visit a critically ill next-of-kin) can sit for the national examinations in school with the necessary SMMs in place.

Examination personnel who are assigned to invigilate these candidates will invigilate from a distance and minimise contact with the candidates when invigilating.

Examination personnel invigilating for the HRW and SHN candidates will also wear a N95 mask. There will also be a thorough wipe-down of venues with HRW/SHN candidates after examination."
What are the additional SMMs in place for national exams?,MOE/017,"In addition to the prevailing SMMs in place for the national examinations, candidates under COVID-19 arrangements (such as those on HRW or MC allowed to take the examinations) will take their examinations in a separate venue from the rest of the school cohort. Enhanced SMMs include a spacing of at least 3 metres between candidates in an exam-style seating.

HRW candidates who have met the necessary requirements to take the national examinations will have to avoid mingling with the other candidates, as they will be provided with designated entry/exit points, restrooms and have staggered reporting times.

In addition, HRW candidates will start their examination 30 minutes after the scheduled start time for the rest of the school cohort. Accompanying parents or care-givers of HRW candidates will not be allowed into the school premises.

For year-end examinations, candidates who are on SHN due to travelling overseas on compassionate reasons (e.g. to attend a funeral or visit a critically ill next-of-kin) can sit for the national examinations in school with the necessary SMMs in place.

Examination personnel who are assigned to invigilate these candidates will invigilate from a distance and minimise contact with the candidates when invigilating.

Examination personnel invigilating for the HRW and SHN candidates will also wear a N95 mask. There will also be a thorough wipe-down of venues with HRW/SHN candidates after examination."
How can schools make sure that it is safe for our kids to sit for the national exams in school?,MOE/017,"In addition to the prevailing SMMs in place for the national examinations, candidates under COVID-19 arrangements (such as those on HRW or MC allowed to take the examinations) will take their examinations in a separate venue from the rest of the school cohort. Enhanced SMMs include a spacing of at least 3 metres between candidates in an exam-style seating.

HRW candidates who have met the necessary requirements to take the national examinations will have to avoid mingling with the other candidates, as they will be provided with designated entry/exit points, restrooms and have staggered reporting times.

In addition, HRW candidates will start their examination 30 minutes after the scheduled start time for the rest of the school cohort. Accompanying parents or care-givers of HRW candidates will not be allowed into the school premises.

For year-end examinations, candidates who are on SHN due to travelling overseas on compassionate reasons (e.g. to attend a funeral or visit a critically ill next-of-kin) can sit for the national examinations in school with the necessary SMMs in place.

Examination personnel who are assigned to invigilate these candidates will invigilate from a distance and minimise contact with the candidates when invigilating.

Examination personnel invigilating for the HRW and SHN candidates will also wear a N95 mask. There will also be a thorough wipe-down of venues with HRW/SHN candidates after examination."
What is special consideration? How will scores be derived if students cannot sit for the examinations?,MOE/018,"Similar to previous years, candidates who miss any national examination paper(s) with valid reasons (including COVID-19, medical leave or compassionate reasons) can apply for special consideration.

Special consideration is a well-established procedure which awards affected candidates with projected grades through a fair and rigorous evidence-based methodology. In awarding a grade for these affected candidates, SEAB will consider multiple sources of data, such as the candidate’s performance in the other papers for that affected subject in national and school-based examinations as well as the school cohort's performance in national and school-based exams, to ensure a fair assessment for all candidates.

All special consideration applications are assessed on each case's merit, to ensure that the grades awarded are as accurate and fair as possible.

Similar to school candidates, special consideration for private candidates will be considered on a case-by-case basis."
Special considerations for students due to covid,MOE/018,"Similar to previous years, candidates who miss any national examination paper(s) with valid reasons (including COVID-19, medical leave or compassionate reasons) can apply for special consideration.

Special consideration is a well-established procedure which awards affected candidates with projected grades through a fair and rigorous evidence-based methodology. In awarding a grade for these affected candidates, SEAB will consider multiple sources of data, such as the candidate’s performance in the other papers for that affected subject in national and school-based examinations as well as the school cohort's performance in national and school-based exams, to ensure a fair assessment for all candidates.

All special consideration applications are assessed on each case's merit, to ensure that the grades awarded are as accurate and fair as possible.

Similar to school candidates, special consideration for private candidates will be considered on a case-by-case basis."
What happens if students cannot sit for exams due to coivd?,MOE/018,"Similar to previous years, candidates who miss any national examination paper(s) with valid reasons (including COVID-19, medical leave or compassionate reasons) can apply for special consideration.

Special consideration is a well-established procedure which awards affected candidates with projected grades through a fair and rigorous evidence-based methodology. In awarding a grade for these affected candidates, SEAB will consider multiple sources of data, such as the candidate’s performance in the other papers for that affected subject in national and school-based examinations as well as the school cohort's performance in national and school-based exams, to ensure a fair assessment for all candidates.

All special consideration applications are assessed on each case's merit, to ensure that the grades awarded are as accurate and fair as possible.

Similar to school candidates, special consideration for private candidates will be considered on a case-by-case basis."
Will there be special consideration for private candidate?,MOE/018,"Similar to previous years, candidates who miss any national examination paper(s) with valid reasons (including COVID-19, medical leave or compassionate reasons) can apply for special consideration.

Special consideration is a well-established procedure which awards affected candidates with projected grades through a fair and rigorous evidence-based methodology. In awarding a grade for these affected candidates, SEAB will consider multiple sources of data, such as the candidate’s performance in the other papers for that affected subject in national and school-based examinations as well as the school cohort's performance in national and school-based exams, to ensure a fair assessment for all candidates.

All special consideration applications are assessed on each case's merit, to ensure that the grades awarded are as accurate and fair as possible.

Similar to school candidates, special consideration for private candidates will be considered on a case-by-case basis."
How is the special consideration assessed?,MOE/018,"Similar to previous years, candidates who miss any national examination paper(s) with valid reasons (including COVID-19, medical leave or compassionate reasons) can apply for special consideration.

Special consideration is a well-established procedure which awards affected candidates with projected grades through a fair and rigorous evidence-based methodology. In awarding a grade for these affected candidates, SEAB will consider multiple sources of data, such as the candidate’s performance in the other papers for that affected subject in national and school-based examinations as well as the school cohort's performance in national and school-based exams, to ensure a fair assessment for all candidates.

All special consideration applications are assessed on each case's merit, to ensure that the grades awarded are as accurate and fair as possible.

Similar to school candidates, special consideration for private candidates will be considered on a case-by-case basis."
Who can apply for Special Consideration? How can candidates apply for Special Consideration?,MOE/019,"Candidates who miss the national examinations due to valid reasons can apply for special consideration.

School candidates can submit relevant documents (for example, medical certificates) to support their Special Consideration application to SEAB through their school, or directly to SEAB if they are private candidates. All Special Consideration applications are to be submitted within three days after the last day of the examination.

All special consideration applications, for both school and private candidates, will be considered on a case-by-case basis."
How to apply for special consideration?,MOE/019,"Candidates who miss the national examinations due to valid reasons can apply for special consideration.

School candidates can submit relevant documents (for example, medical certificates) to support their Special Consideration application to SEAB through their school, or directly to SEAB if they are private candidates. All Special Consideration applications are to be submitted within three days after the last day of the examination.

All special consideration applications, for both school and private candidates, will be considered on a case-by-case basis."
Why did MOE and SEAB decide to remove CLT from GCE level examinations? What are the CLT to be removed?,MOE/020,"With evolving COVID-19 situation including more infectious variants of the virus, we have seen more confirmed COVID-19 cases among students and staff, which led to some schools moving to Home-Based Learning (HBL) to safeguard the safety and well-being of the school community. As HBL may happen occasionally if there is a public health need to do so, students' learning may be disrupted and well-being impacted, especially for the graduating cohorts. After careful consideration of these factors, we will remove the CLT from the Singapore-Cambridge GCE N(A)-, N(T)-, O- and A-level examinations.

The updated examination syllabuses of subjects with CLT removed and dates of the national examinations are available on SEAB's website at www.seab.gov.sg"
Where can I find the updated examination syllabuses of subjects with CLT removed?,MOE/020,"With evolving COVID-19 situation including more infectious variants of the virus, we have seen more confirmed COVID-19 cases among students and staff, which led to some schools moving to Home-Based Learning (HBL) to safeguard the safety and well-being of the school community. As HBL may happen occasionally if there is a public health need to do so, students' learning may be disrupted and well-being impacted, especially for the graduating cohorts. After careful consideration of these factors, we will remove the CLT from the Singapore-Cambridge GCE N(A)-, N(T)-, O- and A-level examinations.

The updated examination syllabuses of subjects with CLT removed and dates of the national examinations are available on SEAB's website at www.seab.gov.sg"
Why remove CLT from GCE level exams?,MOE/020,"With evolving COVID-19 situation including more infectious variants of the virus, we have seen more confirmed COVID-19 cases among students and staff, which led to some schools moving to Home-Based Learning (HBL) to safeguard the safety and well-being of the school community. As HBL may happen occasionally if there is a public health need to do so, students' learning may be disrupted and well-being impacted, especially for the graduating cohorts. After careful consideration of these factors, we will remove the CLT from the Singapore-Cambridge GCE N(A)-, N(T)-, O- and A-level examinations.

The updated examination syllabuses of subjects with CLT removed and dates of the national examinations are available on SEAB's website at www.seab.gov.sg"
Will my child's performance at the oral examinations be affected due to mask-wearing? Can my child wear a face shield instead?,MOE/021,"In view of the evolving COVID-19 situation, all candidates and oral examiners will be required to wear surgical masks throughout the oral examinations to ensure their safety and well-being.

As facial expressions will not be taken into consideration for the assessment, candidates will not be disadvantaged by the wearing of surgical masks during oral examinations. Oral examiners will take the special circumstance of mask-wearing into consideration when assessing the candidates.

In addition, the following processes will be in place to ensure that oral examiners and candidates can hear each other clearly, and that the wearing of surgical mask does not inhibit pronunciation and articulation.

Before the start of the examination, oral examiners will ask each candidate to state his/her name and school loudly, to ensure that they can hear each other clearly.
During the examination, candidates can request for the oral examiners to repeat their questions and/or speak louder. Oral examiners can also request candidates to speak louder if they are unable to hear them clearly. Similar to current practice, candidates will not be penalised for such requests. In addition, a placard would be placed in front of the candidate as a reminder that they can do so."
Do students need to wear a face mask during oral exmas?,MOE/021,"In view of the evolving COVID-19 situation, all candidates and oral examiners will be required to wear surgical masks throughout the oral examinations to ensure their safety and well-being.

As facial expressions will not be taken into consideration for the assessment, candidates will not be disadvantaged by the wearing of surgical masks during oral examinations. Oral examiners will take the special circumstance of mask-wearing into consideration when assessing the candidates.

In addition, the following processes will be in place to ensure that oral examiners and candidates can hear each other clearly, and that the wearing of surgical mask does not inhibit pronunciation and articulation.

Before the start of the examination, oral examiners will ask each candidate to state his/her name and school loudly, to ensure that they can hear each other clearly.
During the examination, candidates can request for the oral examiners to repeat their questions and/or speak louder. Oral examiners can also request candidates to speak louder if they are unable to hear them clearly. Similar to current practice, candidates will not be penalised for such requests. In addition, a placard would be placed in front of the candidate as a reminder that they can do so."
How to ensure that oral examiners and candidates can hear each other clearly?,MOE/021,"In view of the evolving COVID-19 situation, all candidates and oral examiners will be required to wear surgical masks throughout the oral examinations to ensure their safety and well-being.

As facial expressions will not be taken into consideration for the assessment, candidates will not be disadvantaged by the wearing of surgical masks during oral examinations. Oral examiners will take the special circumstance of mask-wearing into consideration when assessing the candidates.

In addition, the following processes will be in place to ensure that oral examiners and candidates can hear each other clearly, and that the wearing of surgical mask does not inhibit pronunciation and articulation.

Before the start of the examination, oral examiners will ask each candidate to state his/her name and school loudly, to ensure that they can hear each other clearly.
During the examination, candidates can request for the oral examiners to repeat their questions and/or speak louder. Oral examiners can also request candidates to speak louder if they are unable to hear them clearly. Similar to current practice, candidates will not be penalised for such requests. In addition, a placard would be placed in front of the candidate as a reminder that they can do so."
Will my child be penalised if he request examiners to repeat their question again or speak louder?,MOE/021,"In view of the evolving COVID-19 situation, all candidates and oral examiners will be required to wear surgical masks throughout the oral examinations to ensure their safety and well-being.

As facial expressions will not be taken into consideration for the assessment, candidates will not be disadvantaged by the wearing of surgical masks during oral examinations. Oral examiners will take the special circumstance of mask-wearing into consideration when assessing the candidates.

In addition, the following processes will be in place to ensure that oral examiners and candidates can hear each other clearly, and that the wearing of surgical mask does not inhibit pronunciation and articulation.

Before the start of the examination, oral examiners will ask each candidate to state his/her name and school loudly, to ensure that they can hear each other clearly.
During the examination, candidates can request for the oral examiners to repeat their questions and/or speak louder. Oral examiners can also request candidates to speak louder if they are unable to hear them clearly. Similar to current practice, candidates will not be penalised for such requests. In addition, a placard would be placed in front of the candidate as a reminder that they can do so."
What happens if my child cannot hear the questions clearly during oral exam?,MOE/021,"In view of the evolving COVID-19 situation, all candidates and oral examiners will be required to wear surgical masks throughout the oral examinations to ensure their safety and well-being.

As facial expressions will not be taken into consideration for the assessment, candidates will not be disadvantaged by the wearing of surgical masks during oral examinations. Oral examiners will take the special circumstance of mask-wearing into consideration when assessing the candidates.

In addition, the following processes will be in place to ensure that oral examiners and candidates can hear each other clearly, and that the wearing of surgical mask does not inhibit pronunciation and articulation.

Before the start of the examination, oral examiners will ask each candidate to state his/her name and school loudly, to ensure that they can hear each other clearly.
During the examination, candidates can request for the oral examiners to repeat their questions and/or speak louder. Oral examiners can also request candidates to speak louder if they are unable to hear them clearly. Similar to current practice, candidates will not be penalised for such requests. In addition, a placard would be placed in front of the candidate as a reminder that they can do so."
What are Common Last Topics (CLT)?,MOE/022,"The CLT is a set of topics identified* by MOE from the relevant subject syllabuses that would be taught last by all schools for the graduating cohorts.

In the event of unforeseen circumstances impacting the completion of schools' teaching for the graduation cohorts, CLT can be removed from the scope covered in the national examinations. Any decision to remove CLT is considered carefully as it can affect students' progression to the next course of study and the design of the examinations, i.e. students having fewer or no optional questions to choose from.

*For skill-based subjects such as English Language and Mother Tongue Language, it will not be meaningful and practical to identify CLT. In such instances, SEAB will take the disruption to curriculum time into consideration during marking and grading to ensure that all students are fairly assessed."
What are the precautionary measures that will be in place during the national examinations to safeguard the safety and well-being of candidates and examination personnel?,MOE/023,"To safeguard the safety and well-being of students and school staff, MOE and the Singapore Examinations and Assessment Board (SEAB) will putting in place enhanced Safe Management Measures (SMMs) and an additional COVID-19 testing regime, to ensure the safe conduct of the national examinations.

The safe management measures include:

Temperature taking and visual screening of all candidates and examination personnel.
All candidates and examination personnel must wear their surgical masks at all times during the examinations. The use of face shields would not be allowed unless due to special needs or medical condition.
Using a well-ventilated venue such as hall or classrooms for the examinations.
Larger venues, such as school halls, will be zoned with a maximum of 50 candidates in each zone, and up to 250 candidates per venue. There will be a separation of at least 3m between zones. Within each zone, candidates will be seated at least 1.5m apart.
For examinations conducted in classrooms, candidates will be seated 1.5m apart from one another, with a maximum of 30 candidates in each classroom.
Frequent cleaning of high-touch surfaces such as desks and laptop mouse before the next candidate uses them.
There will be designated toilets or staggered toilet breaks for groups of candidates where appropriate, to avoid congregation and intermingling between groups.
Staggered dismissal timings as well as segregated entry and exit routes to minimise intermingling of candidates and avoid congregation.
MOE and SEAB will continue to monitor the COVID-19 situation closely and provide updates if there are any changes to the examination arrangements."
What are the SMMs put in place for schools?,MOE/023,"To safeguard the safety and well-being of students and school staff, MOE and the Singapore Examinations and Assessment Board (SEAB) will putting in place enhanced Safe Management Measures (SMMs) and an additional COVID-19 testing regime, to ensure the safe conduct of the national examinations.

The safe management measures include:

Temperature taking and visual screening of all candidates and examination personnel.
All candidates and examination personnel must wear their surgical masks at all times during the examinations. The use of face shields would not be allowed unless due to special needs or medical condition.
Using a well-ventilated venue such as hall or classrooms for the examinations.
Larger venues, such as school halls, will be zoned with a maximum of 50 candidates in each zone, and up to 250 candidates per venue. There will be a separation of at least 3m between zones. Within each zone, candidates will be seated at least 1.5m apart.
For examinations conducted in classrooms, candidates will be seated 1.5m apart from one another, with a maximum of 30 candidates in each classroom.
Frequent cleaning of high-touch surfaces such as desks and laptop mouse before the next candidate uses them.
There will be designated toilets or staggered toilet breaks for groups of candidates where appropriate, to avoid congregation and intermingling between groups.
Staggered dismissal timings as well as segregated entry and exit routes to minimise intermingling of candidates and avoid congregation.
MOE and SEAB will continue to monitor the COVID-19 situation closely and provide updates if there are any changes to the examination arrangements."
What happens if a candidate feels unwell during the written examination?,MOE/024,"Candidates who feel unwell during the examination should inform invigilators immediately. They will be escorted out of the examination venue and placed in a separate room. They will not be allowed to continue with the examination and their examination scripts will be submitted to the invigilators. Schools will assess the condition of the candidate and may make arrangements for the candidate to see a doctor.

For such instances, candidates can apply for special consideration."
What if my child falls sick in the middle of the exam?,MOE/024,"Candidates who feel unwell during the examination should inform invigilators immediately. They will be escorted out of the examination venue and placed in a separate room. They will not be allowed to continue with the examination and their examination scripts will be submitted to the invigilators. Schools will assess the condition of the candidate and may make arrangements for the candidate to see a doctor.

For such instances, candidates can apply for special consideration."
What if my child is sick in the middle of the exam?,MOE/024,"Candidates who feel unwell during the examination should inform invigilators immediately. They will be escorted out of the examination venue and placed in a separate room. They will not be allowed to continue with the examination and their examination scripts will be submitted to the invigilators. Schools will assess the condition of the candidate and may make arrangements for the candidate to see a doctor.

For such instances, candidates can apply for special consideration."
Will there be special consideration if my child fall sick during the exam?,MOE/024,"Candidates who feel unwell during the examination should inform invigilators immediately. They will be escorted out of the examination venue and placed in a separate room. They will not be allowed to continue with the examination and their examination scripts will be submitted to the invigilators. Schools will assess the condition of the candidate and may make arrangements for the candidate to see a doctor.

For such instances, candidates can apply for special consideration."
How is Antigen Rapid Test (ART) done for candidates in schools?,MOE/025,"There will be trained staff at secondary schools, junior colleges and Millennia Institute to conduct the supervised ART self-swab for candidates. In view of their younger age, PSLE candidates would either need their parent/guardian to be present to help their child/ward conduct the ART, or they would require parental/guardian consent for them to do the ART themselves in school or the examination venue with guidance and support from staff."
How is the ART carried out in schools?,MOE/025,"There will be trained staff at secondary schools, junior colleges and Millennia Institute to conduct the supervised ART self-swab for candidates. In view of their younger age, PSLE candidates would either need their parent/guardian to be present to help their child/ward conduct the ART, or they would require parental/guardian consent for them to do the ART themselves in school or the examination venue with guidance and support from staff."
How is the ART test conducted in schools?,MOE/025,"There will be trained staff at secondary schools, junior colleges and Millennia Institute to conduct the supervised ART self-swab for candidates. In view of their younger age, PSLE candidates would either need their parent/guardian to be present to help their child/ward conduct the ART, or they would require parental/guardian consent for them to do the ART themselves in school or the examination venue with guidance and support from staff."
What are the arrangements for Institutes of Higher Learning (IHLs) in Phase 3 (Heightened Alert)?,MOE/026,"The Institutes of Higher Learning (IHLs) will increase the number of students allowed back on campus at any one time for face-to-face learning.

Students will continue to return for essential in-person sessions such as labs and practicals. Similarly, other classes or consultations that were previously conducted online can now resume on campus with no more than 50 persons per class. All large-scale classes and lectures will continue to be held online.

Student activities involving 50 persons or less will be allowed to resume. However, large scale events which involve more than 50 persons will continue to be postponed or suspended until further notice."
Any safe management measures for IHL?,MOE/026,"The Institutes of Higher Learning (IHLs) will increase the number of students allowed back on campus at any one time for face-to-face learning.

Students will continue to return for essential in-person sessions such as labs and practicals. Similarly, other classes or consultations that were previously conducted online can now resume on campus with no more than 50 persons per class. All large-scale classes and lectures will continue to be held online.

Student activities involving 50 persons or less will be allowed to resume. However, large scale events which involve more than 50 persons will continue to be postponed or suspended until further notice."
Any smm for institues for higher learning?,MOE/026,"The Institutes of Higher Learning (IHLs) will increase the number of students allowed back on campus at any one time for face-to-face learning.

Students will continue to return for essential in-person sessions such as labs and practicals. Similarly, other classes or consultations that were previously conducted online can now resume on campus with no more than 50 persons per class. All large-scale classes and lectures will continue to be held online.

Student activities involving 50 persons or less will be allowed to resume. However, large scale events which involve more than 50 persons will continue to be postponed or suspended until further notice."
Any smm for universities?,MOE/026,"The Institutes of Higher Learning (IHLs) will increase the number of students allowed back on campus at any one time for face-to-face learning.

Students will continue to return for essential in-person sessions such as labs and practicals. Similarly, other classes or consultations that were previously conducted online can now resume on campus with no more than 50 persons per class. All large-scale classes and lectures will continue to be held online.

Student activities involving 50 persons or less will be allowed to resume. However, large scale events which involve more than 50 persons will continue to be postponed or suspended until further notice."
Any safe management measures for universities?,MOE/026,"The Institutes of Higher Learning (IHLs) will increase the number of students allowed back on campus at any one time for face-to-face learning.

Students will continue to return for essential in-person sessions such as labs and practicals. Similarly, other classes or consultations that were previously conducted online can now resume on campus with no more than 50 persons per class. All large-scale classes and lectures will continue to be held online.

Student activities involving 50 persons or less will be allowed to resume. However, large scale events which involve more than 50 persons will continue to be postponed or suspended until further notice."
